dt,price,change,change_percent,volume
2023-01-03 16:00:00,125.07,0.0,0.0,112117471.0
2023-01-04 16:00:00,126.36,1.29,0.0103,89113633.0
2023-01-05 16:00:00,125.02,-0.05,-0.0004,80962708.0
2023-01-06 16:00:00,129.62,4.55,0.0364,87754715.0
2023-01-09 16:00:00,130.15,5.08,0.0406,70790813.0
2023-01-10 16:00:00,130.73,5.66,0.0453,63896155.0
2023-01-11 16:00:00,133.49,8.42,0.0673,69458949.0
2023-01-12 16:00:00,133.41,8.34,0.0667,71379648.0
2023-01-13 16:00:00,134.76,9.69,0.0775,57809719.0
2023-01-17 16:00:00,135.94,10.87,0.0869,63646627.0
2023-01-18 16:00:00,135.21,10.14,0.0811,69672800.0
2023-01-19 16:00:00,135.27,10.2,0.0816,58280413.0
2023-01-20 16:00:00,137.87,12.8,0.1023,80223626.0
2023-01-23 16:00:00,141.11,16.04,0.1282,81760313.0
2023-01-24 16:00:00,142.53,17.46,0.1396,66435142.0
2023-01-25 16:00:00,141.86,16.79,0.1342,65799349.0
2023-01-26 16:00:00,143.96,18.89,0.151,54105068.0
2023-01-27 16:00:00,145.93,20.86,0.1668,70555843.0
2023-01-30 16:00:00,143.0,17.93,0.1434,64015274.0
2023-01-31 16:00:00,144.29,19.22,0.1537,65874459.0
2023-02-01 16:00:00,145.43,20.36,0.1628,77663633.0
2023-02-02 16:00:00,150.82,25.75,0.2059,118338980.0
2023-02-03 16:00:00,154.5,29.43,0.2353,154357337.0
2023-02-06 16:00:00,151.73,26.66,0.2132,69858306.0
2023-02-07 16:00:00,154.65,29.58,0.2365,83322551.0
2023-02-08 16:00:00,151.92,26.85,0.2147,64120079.0
2023-02-09 16:00:00,150.87,25.8,0.2063,56007143.0
2023-02-10 16:00:00,151.01,25.94,0.2074,57450708.0
2023-02-13 16:00:00,153.85,28.78,0.2301,62199013.0
2023-02-14 16:00:00,153.2,28.13,0.2249,61707573.0
2023-02-15 16:00:00,155.33,30.26,0.2419,65669252.0
2023-02-16 16:00:00,153.71,28.64,0.229,68167942.0
2023-02-17 16:00:00,152.55,27.48,0.2197,59144118.0
2023-02-21 16:00:00,148.48,23.41,0.1872,58867230.0
2023-02-22 16:00:00,148.91,23.84,0.1906,51011305.0
2023-02-23 16:00:00,149.4,24.33,0.1945,48394249.0
2023-02-24 16:00:00,146.71,21.64,0.173,55469606.0
2023-02-27 16:00:00,147.92,22.85,0.1827,44998470.0
2023-02-28 16:00:00,147.41,22.34,0.1786,50546998.0
2023-03-01 16:00:00,145.31,20.24,0.1618,55478991.0
2023-03-02 16:00:00,145.91,20.84,0.1666,52279761.0
2023-03-03 16:00:00,151.03,25.96,0.2076,70732297.0
2023-03-06 16:00:00,153.83,28.76,0.23,87558028.0
2023-03-07 16:00:00,151.6,26.53,0.2121,56182028.0
2023-03-08 16:00:00,152.87,27.8,0.2223,47204791.0
2023-03-09 16:00:00,150.59,25.52,0.204,53833582.0
