dt,price,change,change_percent,volume
2023-01-03 16:00:00,85.82,0.0,0.0,76706040.0
2023-01-04 16:00:00,85.14,-0.68,-0.0079,68885123.0
2023-01-05 16:00:00,83.12,-2.7,-0.0315,67930825.0
2023-01-06 16:00:00,86.08,0.26,0.003,83303361.0
2023-01-09 16:00:00,87.36,1.54,0.0179,65266056.0
2023-01-10 16:00:00,89.87,4.05,0.0472,67756601.0
2023-01-11 16:00:00,95.09,9.27,0.108,103126183.0
2023-01-12 16:00:00,95.27,9.45,0.1101,85254781.0
2023-01-13 16:00:00,98.12,12.3,0.1433,85549432.0
2023-01-17 16:00:00,96.05,10.23,0.1192,72755001.0
2023-01-18 16:00:00,95.46,9.64,0.1123,79570370.0
2023-01-19 16:00:00,93.68,7.86,0.0916,69002663.0
2023-01-20 16:00:00,97.25,11.43,0.1332,67481539.0
2023-01-23 16:00:00,97.52,11.7,0.1363,76501103.0
2023-01-24 16:00:00,96.32,10.5,0.1223,66929452.0
2023-01-25 16:00:00,97.18,11.36,0.1324,94261570.0
2023-01-26 16:00:00,99.22,13.4,0.1561,68523557.0
2023-01-27 16:00:00,102.24,16.42,0.1913,87775614.0
2023-01-30 16:00:00,100.55,14.73,0.1716,70691860.0
2023-01-31 16:00:00,103.13,17.31,0.2017,66527253.0
2023-02-01 16:00:00,105.15,19.33,0.2252,80450121.0
2023-02-02 16:00:00,112.91,27.09,0.3157,158154243.0
2023-02-03 16:00:00,103.39,17.57,0.2047,144374828.0
2023-02-06 16:00:00,102.18,16.36,0.1906,81945199.0
2023-02-07 16:00:00,102.11,16.29,0.1898,119501301.0
2023-02-08 16:00:00,100.05,14.23,0.1658,75878304.0
2023-02-09 16:00:00,98.24,12.42,0.1447,64622489.0
2023-02-10 16:00:00,97.61,11.79,0.1374,52740133.0
2023-02-13 16:00:00,99.54,13.72,0.1599,52841464.0
2023-02-14 16:00:00,99.7,13.88,0.1617,56202898.0
2023-02-15 16:00:00,101.16,15.34,0.1787,48053879.0
2023-02-16 16:00:00,98.15,12.33,0.1437,56339173.0
2023-02-17 16:00:00,97.2,11.38,0.1326,60029405.0
2023-02-21 16:00:00,94.58,8.76,0.1021,56580360.0
2023-02-22 16:00:00,95.79,9.97,0.1162,59534094.0
2023-02-23 16:00:00,95.82,10.0,0.1165,48466994.0
2023-02-24 16:00:00,93.5,7.68,0.0895,57053812.0
2023-02-27 16:00:00,93.76,7.94,0.0925,47470321.0
2023-02-28 16:00:00,94.23,8.41,0.098,43959290.0
2023-03-01 16:00:00,92.17,6.35,0.074,52299524.0
2023-03-02 16:00:00,92.13,6.31,0.0735,55574820.0
