dt,price,change,change_percent,volume
2023-01-03 16:00:00,63.36,0.0,0.0,506391.0
2023-01-04 16:00:00,63.2,-0.16,-0.0025,340277.0
2023-01-05 16:00:00,61.85,-1.51,-0.0238,554161.0
2023-01-06 16:00:00,63.91,0.55,0.0087,295785.0
2023-01-09 16:00:00,64.22,0.86,0.0136,274737.0
2023-01-10 16:00:00,63.07,-0.29,-0.0046,340631.0
2023-01-11 16:00:00,62.17,-1.19,-0.0188,568178.0
2023-01-12 16:00:00,64.09,0.73,0.0115,458190.0
2023-01-13 16:00:00,63.42,0.06,0.0009,297440.0
2023-01-17 16:00:00,62.87,-0.49,-0.0077,325770.0
2023-01-18 16:00:00,60.64,-2.72,-0.0429,388739.0
2023-01-19 16:00:00,62.1,-1.26,-0.0199,607798.0
2023-01-20 16:00:00,63.76,0.4,0.0063,488011.0
2023-01-23 16:00:00,64.27,0.91,0.0144,340613.0
2023-01-24 16:00:00,64.67,1.31,0.0207,212508.0
2023-01-25 16:00:00,64.96,1.6,0.0253,237042.0
2023-01-26 16:00:00,65.12,1.76,0.0278,342869.0
2023-01-27 16:00:00,66.22,2.86,0.0451,392837.0
2023-01-30 16:00:00,64.89,1.53,0.0241,487004.0
2023-01-31 16:00:00,70.78,7.42,0.1171,864581.0
2023-02-01 16:00:00,72.13,8.77,0.1384,1153300.0
2023-02-02 16:00:00,73.17,9.81,0.1548,763870.0
2023-02-03 16:00:00,73.97,10.61,0.1675,489369.0
2023-02-06 16:00:00,73.48,10.12,0.1597,421400.0
2023-02-07 16:00:00,73.57,10.21,0.1611,391307.0
2023-02-08 16:00:00,72.93,9.57,0.151,273380.0
2023-02-09 16:00:00,72.13,8.77,0.1384,314448.0
2023-02-10 16:00:00,73.27,9.91,0.1564,228264.0
2023-02-13 16:00:00,73.12,9.76,0.154,376445.0
2023-02-14 16:00:00,73.07,9.71,0.1533,260602.0
2023-02-15 16:00:00,73.66,10.3,0.1626,207779.0
2023-02-16 16:00:00,73.73,10.37,0.1637,353287.0
2023-02-17 16:00:00,73.07,9.71,0.1533,222589.0
2023-02-21 16:00:00,71.55,8.19,0.1293,291580.0
2023-02-22 16:00:00,71.42,8.06,0.1272,233538.0
2023-02-23 16:00:00,72.77,9.41,0.1485,225719.0
2023-02-24 16:00:00,72.44,9.08,0.1433,420691.0
2023-02-27 16:00:00,72.82,9.46,0.1493,278473.0
2023-02-28 16:00:00,72.53,9.17,0.1447,445326.0
2023-03-01 16:00:00,73.07,9.71,0.1533,268910.0
2023-03-02 16:00:00,74.27,10.91,0.1722,291084.0
2023-03-03 16:00:00,75.64,12.28,0.1938,419657.0
2023-03-06 16:00:00,74.99,11.63,0.1836,272325.0
2023-03-07 16:00:00,73.29,9.93,0.1567,241140.0
2023-03-08 16:00:00,73.29,9.93,0.1567,268151.0
2023-03-09 16:00:00,72.33,8.97,0.1416,307278.0
2023-03-10 16:00:00,70.64,7.28,0.1149,280749.0
2023-03-13 16:00:00,68.86,5.5,0.0868,324415.0
2023-03-14 16:00:00,71.24,7.88,0.1244,463465.0
2023-03-15 16:00:00,67.72,4.36,0.0688,535801.0
2023-03-16 16:00:00,67.84,4.48,0.0707,363414.0
2023-03-17 16:00:00,65.05,1.69,0.0267,611343.0
2023-03-20 16:00:00,67.36,4.0,0.0631,529937.0
2023-03-21 16:00:00,69.12,5.76,0.0909,249669.0
2023-03-22 16:00:00,67.04,3.68,0.0581,171217.0
2023-03-23 16:00:00,66.68,3.32,0.0524,204000.0
2023-03-24 16:00:00,66.7,3.34,0.0527,179179.0
2023-03-27 16:00:00,67.6,4.24,0.0669,234508.0
