dt,price,change,change_percent,volume
2023-01-03 16:00:00,108.1,0.0,0.0,231402818.0
2023-01-04 16:00:00,113.64,5.54,0.0512,180388976.0
2023-01-05 16:00:00,110.34,2.24,0.0207,157986324.0
2023-01-06 16:00:00,113.06,4.96,0.0459,220911051.0
2023-01-09 16:00:00,119.77,11.67,0.108,190283951.0
2023-01-10 16:00:00,118.85,10.75,0.0994,167642485.0
2023-01-11 16:00:00,123.22,15.12,0.1399,183810771.0
2023-01-12 16:00:00,123.56,15.46,0.143,169400913.0
2023-01-13 16:00:00,122.4,14.3,0.1323,180714119.0
2023-01-17 16:00:00,131.49,23.39,0.2164,186476985.0
2023-01-18 16:00:00,128.78,20.68,0.1913,195680318.0
2023-01-19 16:00:00,127.17,19.07,0.1764,170291880.0
2023-01-20 16:00:00,133.42,25.32,0.2342,138858136.0
2023-01-23 16:00:00,143.75,35.65,0.3298,203119211.0
2023-01-24 16:00:00,143.89,35.79,0.3311,158699056.0
2023-01-25 16:00:00,144.43,36.33,0.3361,192734347.0
2023-01-26 16:00:00,160.27,52.17,0.4826,234815090.0
2023-01-27 16:00:00,177.9,69.8,0.6457,306590613.0
2023-01-30 16:00:00,166.66,58.56,0.5417,230878807.0
2023-01-31 16:00:00,173.22,65.12,0.6024,196813541.0
2023-02-01 16:00:00,181.41,73.31,0.6782,213806323.0
2023-02-02 16:00:00,188.27,80.17,0.7416,217448287.0
2023-02-03 16:00:00,189.98,81.88,0.7574,232662023.0
2023-02-06 16:00:00,194.76,86.66,0.8017,186188131.0
2023-02-07 16:00:00,196.81,88.71,0.8206,186010325.0
2023-02-08 16:00:00,201.29,93.19,0.8621,180673644.0
2023-02-09 16:00:00,207.32,99.22,0.9179,215431442.0
2023-02-10 16:00:00,196.89,88.79,0.8214,204754129.0
2023-02-13 16:00:00,194.64,86.54,0.8006,172475452.0
2023-02-14 16:00:00,209.25,101.15,0.9357,216455708.0
2023-02-15 16:00:00,214.24,106.14,0.9819,182108581.0
2023-02-16 16:00:00,202.04,93.94,0.869,229586538.0
2023-02-17 16:00:00,208.31,100.21,0.927,213738549.0
2023-02-21 16:00:00,197.37,89.27,0.8258,180018588.0
2023-02-22 16:00:00,200.86,92.76,0.8581,191828457.0
2023-02-23 16:00:00,202.07,93.97,0.8693,146359950.0
2023-02-24 16:00:00,196.88,88.78,0.8213,142228105.0
2023-02-27 16:00:00,207.63,99.53,0.9207,161028315.0
2023-02-28 16:00:00,205.71,97.61,0.903,153144912.0
2023-03-01 16:00:00,202.77,94.67,0.8758,156852790.0
2023-03-02 16:00:00,190.9,82.8,0.766,181979154.0
2023-03-03 16:00:00,197.79,89.69,0.8297,154193277.0
2023-03-06 16:00:00,193.81,85.71,0.7929,128100106.0
2023-03-07 16:00:00,187.71,79.61,0.7364,148125790.0
2023-03-08 16:00:00,182.0,73.9,0.6836,151897763.0
2023-03-09 16:00:00,172.92,64.82,0.5996,170023794.0
2023-03-10 16:00:00,173.44,65.34,0.6044,191488872.0
2023-03-13 16:00:00,174.48,66.38,0.6141,167790256.0
2023-03-14 16:00:00,183.26,75.16,0.6953,143717897.0
2023-03-15 16:00:00,180.45,72.35,0.6693,145995583.0
2023-03-16 16:00:00,184.13,76.03,0.7033,121374453.0
2023-03-17 16:00:00,180.13,72.03,0.6663,133197140.0
2023-03-20 16:00:00,183.25,75.15,0.6952,129684359.0
2023-03-21 16:00:00,197.58,89.48,0.8278,153391444.0
2023-03-22 16:00:00,191.15,83.05,0.7683,150376373.0
2023-03-23 16:00:00,192.22,84.12,0.7782,144193876.0
2023-03-24 16:00:00,190.41,82.31,0.7614,116531584.0
2023-03-27 16:00:00,191.81,83.71,0.7744,120851587.0
2023-03-28 16:00:00,189.19,81.09,0.7501,98654635.0
2023-03-29 16:00:00,193.88,85.78,0.7935,123660026.0
2023-03-30 16:00:00,195.28,87.18,0.8065,110252238.0
2023-03-31 16:00:00,207.46,99.36,0.9191,170222118.0
2023-04-03 16:00:00,194.77,86.67,0.8018,169545900.0
2023-04-04 16:00:00,192.58,84.48,0.7815,126463845.0
2023-04-05 16:00:00,185.52,77.42,0.7162,133882493.0
2023-04-06 16:00:00,185.06,76.96,0.7119,123857932.0
2023-04-10 16:00:00,184.51,76.41,0.7068,142154637.0
2023-04-11 16:00:00,186.79,78.69,0.7279,115770892.0
2023-04-12 16:00:00,180.54,72.44,0.6701,150256278.0
2023-04-13 16:00:00,185.9,77.8,0.7197,112932985.0
2023-04-14 16:00:00,185.0,76.9,0.7114,96438664.0
2023-04-17 16:00:00,187.04,78.94,0.7302,116662189.0
2023-04-18 16:00:00,184.31,76.21,0.705,92067016.0
2023-04-19 16:00:00,180.59,72.49,0.6706,125732687.0
2023-04-20 16:00:00,162.99,54.89,0.5078,210970819.0
2023-04-21 16:00:00,165.08,56.98,0.5271,123538954.0
2023-04-24 16:00:00,162.55,54.45,0.5037,140006559.0
2023-04-25 16:00:00,160.67,52.57,0.4863,121999312.0
2023-04-26 16:00:00,153.75,45.65,0.4223,153364142.0
2023-04-27 16:00:00,160.19,52.09,0.4819,127015177.0
2023-04-28 16:00:00,164.31,56.21,0.52,122515812.0
2023-05-01 16:00:00,161.83,53.73,0.497,109015048.0
2023-05-02 16:00:00,160.31,52.21,0.483,128259744.0
2023-05-03 16:00:00,160.61,52.51,0.4858,119727972.0
2023-05-04 16:00:00,161.2,53.1,0.4912,95108492.0
2023-05-05 16:00:00,170.06,61.96,0.5732,107607259.0
2023-05-08 16:00:00,171.79,63.69,0.5892,112249449.0
